Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials
Connoisseur Ice Cream Classic Vanilla 1L tub,11.0,11.0,Frozen,Frozen,
Peters Drumstick Ice Cream Vanilla 4 pack,8.4,8.4,Frozen,Frozen,
Peters Lifesavers Icy Poles Lifesavers 8 pack,7.8,7.0,Frozen,Frozen,
Magnum Ice Cream Honeycomb Crunch 4 pack,9.0,9.0,Frozen,Frozen,
Magnum Mini Ice Cream Classic 6 pack,9.0,9.0,Frozen,Frozen,
Peters Drumstick Minis Ice Cream Vanilla 6 pack,8.4,8.4,Frozen,Frozen,
Perfect Italiano Pizza Plus Cheese 450g,7.65,7.65,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Bega Tasty Grated Cheese 500g,8.65,8.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Perfect Italiano Grated Mozzarella Cheese 450g,8.5,7.65,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Bega Tasty Cheese 500g,8.0,8.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Peters Icy Pole Lemonade 8 pack,5.1,4.6,Frozen,Frozen,
Philadelphia Cream Cheese Original Block 250g,4.7,3.75,Dairy Eggs & Fridge,Dairy Eggs & Fridge,Specials
Jarlsberg Original Cheese Slices Sliced Cheese 150g,7.45,6.85,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Coon Cheese Block Tasty 1kg,10.85,10.85,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Bega Farmers' Tasty Cheese 250g,5.0,6.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Uncle Tobys Cereal Vita Brits 1kg,5.0,5.0,Pantry,Pantry,
Sanitarium Weet-bix Breakfast Cereal 375g,2.9,2.9,Pantry,Pantry,
Kellogg's Coco Pops Chocolatey Breakfast Cereal 650g,7.5,3.75,Pantry,Pantry,Specials
Kellogg's Coco Pops Chocolatey Breakfast Cereal 375g,5.4,5.4,Pantry,Pantry,
Kellogg's All-bran High Fibre Breakfast Cereal 350g,4.4,4.4,Pantry,Pantry,
Mainland On The Go Tasty Cheese And Crackers 50g,2.8,2.5,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Coon Cheese Slices Tasty 500g,8.0,7.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,Specials
Kleenex Complete Clean Toilet Tissue 9 pack,8.9,8.0,Household,Household,
Bega Cheese Stringers Peelable Cheese 8 pack,5.0,4.4,Dairy Eggs & Fridge,Dairy Eggs & Fridge,Specials
Sanitarium Weet-bix Breakfast Cereal 575g,3.8,3.8,Pantry,Pantry,
Kellogg's Special K Original Breakfast Cereal 300g,4.95,4.95,Pantry,Pantry,
Kellogg's Sultana Bran High Fibre Breakfast Cereal 730g,7.5,3.75,Pantry,Pantry,Specials
Kellogg's Sustain Whole Grain Flakes Cereal 480g,5.7,4.25,Pantry,Pantry,Specials
Uncle Tobys Oats Quick Porridge 1kg,6.0,4.0,Pantry,Pantry,Specials
Kellogg's Froot Loops Breakfast Cereal 500g,8.5,8.5,Pantry,Pantry,
Gatorade G-active Electrolyte Water Berry Flavoured No Sugar 600mL,3.95,2.15,Drinks,Drinks,Specials
Kellogg's Nutri-grain Protein Breakfast Cereal 290g,4.95,4.95,Pantry,Pantry,
Kellogg's Special K Original Breakfast Cereal 535g,7.65,3.82,Pantry,Pantry,Specials
Dolmio Extra Spicy Peppers Tomato Pasta Sauce 500g,3.29,2.9,Pantry,Pantry,Specials
Leggos Passata Sauce Italian Herbs 700g,3.2,3.2,Pantry,Pantry,
Dolmio Creamy Carbonara Pasta Sauce 490g,3.29,2.9,Pantry,Pantry,Specials
Dolmio Extra Italian Herbs Tomato Pasta Sauce 500g,3.29,2.9,Pantry,Pantry,Specials
Uncle Tobys Oats Traditional Porridge 500g,4.7,4.25,Pantry,Pantry,
Kellogg's Sultana Bran High Fibre Breakfast Cereal 420g,5.3,5.3,Pantry,Pantry,
Kellogg's Nutri-grain Protein Breakfast Cereal 805g,8.5,8.5,Pantry,Pantry,
Kellogg's Nutri-grain Protein Breakfast Cereal 500g,6.75,3.37,Pantry,Pantry,Specials
Carman's Original Fruit Free Muesli 500g,6.65,4.5,Pantry,Pantry,Specials
Dolmio Extra Bolognese Tomato Pasta Sauce 500g,3.29,2.9,Pantry,Pantry,Specials
Dolmio Extra Garden Vegetables Tomato Pasta Sauce 500g,3.29,2.9,Pantry,Pantry,Specials
Leggos Tomato Paste Regular 280g,3.1,2.6,Pantry,Pantry,Specials
Uncle Tobys Oats Quick Porridge 500g,4.7,4.25,Pantry,Pantry,
Leggos Pasta Sauce Napoletana 500g,3.35,3.0,Pantry,Pantry,Specials
Dolmio Extra Garlic Tomato Pasta Sauce 500g,3.29,2.9,Pantry,Pantry,Specials
Dolmio Lasagne Bechamel Sauce 490g,3.0,3.0,Pantry,Pantry,
Heinz Seriously Good Aioli Garlic Lover Squeezy Bottle 295mL,4.45,3.5,Pantry,Pantry,Specials
Praise Dressings Balsamic 330mL,3.0,3.0,Pantry,Pantry,
