Brand_Product_Size,Brand_x,Brand_y,COL Price,WOW Price,COL ppu,WOW ppu
Green & Black's Organic Dark Chocolate 70% Cocoa 90g,Green & Blacks,green & black's,3.0,4.25,$3.33 per 100G,$4.72 / 100G
Green Leaf Natural Dates 250g,Greenleaf,green leaf,1.6,2.5,$0.64 per 100G,$1.00 / 100G
Green's Cake Mix Traditional Vanilla 470g,Greens,green's,2.75,2.75,$0.59 per 100G,$0.59 / 100G
Green's Trolls Learn To Bake Vanilla Cupcake Mix 280g,Greens,green's,3.2,4.0,$1.14 per 100G,$1.43 / 100G
Haagen-dazs Cookie Dough Chip Ice Cream Tub 457mL,Haagen Dazs,haagen-dazs,7.0,11.5,$1.53 per 100mL,$2.52 / 100ML
Hadar Snacks Biscuits Sandwich Tirosh 175g,Haddar,hadar,3.25,3.5,$1.86 per 100G,$2.00 / 100G
Head &amp; Shoulders Supreme Moisture Conditioner 550mL,Head & Shoulders,head &amp; shoulders,9.5,13.3,$1.73 per 100mL,$2.42 / 100ML
Heinz Baked Beans No Added Sugar 220g,Heinz Beanz,heinz,1.65,1.65,$0.75 per 100G,$0.75 / 100G
Helga's Mixed Grain Mini Loaf 415g,Helgas,helga's,2.9,2.9,$0.70 per 100G,$0.70 / 100G
Helga's Traditional Wholemeal Mini Loaf 360g,Helgas,helga's,2.9,2.9,$0.81 per 100G,$0.81 / 100G
Herron Nicaway Nicotine Lozenges 2mg 72 pack,Herron Nicaway,herron,20.0,20.0,$0.28 per 1Ea,$27.78 / 100EA
Herron Nicaway Nicotine Lozenges 4mg 72 pack,Herron Nicaway,herron,20.0,20.0,$0.28 per 1Ea,$27.78 / 100EA
Hoyt's Basil 15g,Hoyts,hoyt's,1.8,1.8,$1.20 per 10G,$1.20 / 10G
Hoyt's Bay Leaves 15g,Hoyts,hoyt's,1.4,1.4,$0.93 per 10G,$0.93 / 10G
Hoyt's Caraway Seeds 15g,Hoyts,hoyt's,1.5,1.5,$1.00 per 10G,$1.00 / 10G
Hoyt's Cardamom Pods 10g,Hoyts,hoyt's,2.6,2.6,$2.60 per 10G,$2.60 / 10G
Hoyt's Chilli Dried Crushed 100g,Hoyts,hoyt's,4.0,4.5,$0.40 per 10G,$0.45 / 10G
Hoyt's Chilli Powder 50g,Hoyts,hoyt's,1.6,1.45,$0.32 per 10G,$0.29 / 10G
Hoyt's Chives 15g,Hoyts,hoyt's,2.0,1.85,$1.33 per 10G,$1.23 / 10G
Hoyt's Cinnamon Sticks 15g,Hoyts,hoyt's,2.95,3.0,$1.97 per 10G,$2.00 / 10G
Hoyt's Cinnamon Sticks 45g,Hoyts,hoyt's,5.1,5.09,$1.13 per 10G,$1.13 / 10G
Hoyt's Cloves Whole 15g,Hoyts,hoyt's,1.8,1.8,$1.20 per 10G,$1.20 / 10G
Hoyt's Coriander Ground 25g,Hoyts,hoyt's,1.6,1.6,$0.64 per 10G,$0.64 / 10G
Hoyt's Coriander Seed Whole 25g,Hoyts,hoyt's,1.3,1.3,$0.52 per 10G,$0.52 / 10G
Hoyt's Cumin Ground 25g,Hoyts,hoyt's,1.95,1.95,$0.78 per 10G,$0.78 / 10G
Hoyt's Cumin Seeds Whole 25g,Hoyts,hoyt's,1.85,1.85,$0.74 per 10G,$0.74 / 10G
Hoyt's Curry Powder Mild 50g,Hoyts,hoyt's,1.95,1.8,$0.39 per 10G,$0.36 / 10G
