SKU,Brand_Product_Size,Brand,Product Name,COL Price,COL ppu,COL Size,COL Specials,COL Category,Product URL
3829752P,I Love Cookies Cookie Rainbow Choc Single Big 50g,I Love Cookies,Cookie Rainbow Choc Single Big,2.0,$4.00 per 100G,50g,,Lunch Box,https://shop.coles.com.au/a/national/product/i-love-cokies-single-big-cokie-rainbow-choc
3581409P,Oreo Mini Cup Biscuits 67g,Oreo,Mini Cup Biscuits,1.8,$2.69 per 100G,67g,,Lunch Box,https://shop.coles.com.au/a/national/product/oreo-mini-cup-biscuits
3829730P,I Love Cookies Cookie Ginger Ninja Single Big 50g,I Love Cookies,Cookie Ginger Ninja Single Big,2.0,$4.00 per 100G,50g,,Lunch Box,https://shop.coles.com.au/a/national/product/i-love-cokies-single-big-cokie-ginger-ninja
7179182P,Byron Bay Single White Choc & Macadamia Cookie 60g,Byron Bay,Single White Choc & Macadamia Cookie,1.5,$2.50 per 100G,60g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/byron-bay-cookie-company-cookie-white-chocolate-macadamia
2140780P,Peckish Cheddar Cheese Rice Crackers 6 pack 120g,Peckish,Cheddar Cheese Rice Crackers 6 pack,3.0,$2.50 per 100G,120g,,Lunch Box,https://shop.coles.com.au/a/national/product/peckish-rice-cracker-cheddar-cheese-6-pack
3839621P,Byron Bay Single Serve Rocky Road Cookie 60g,Byron Bay,Single Serve Rocky Road Cookie,1.5,$2.50 per 100G,60g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/byron-bay-single-serve-cokie-rocky-road
7179218P,Byron Bay Single Serve Dotty Cookie 60g,Byron Bay,Single Serve Dotty Cookie,1.5,$2.50 per 100G,60g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/byron-bay-cookie-company-cookie-dotty
6613997P,Arnott's Single Biscuit Tim Tam Fingers 40g,Arnott's,Single Biscuit Tim Tam Fingers,1.5,$3.75 per 100G,40g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-single-biscuit-tim-tam-fingers
3829741P,I Love Cookies Cookie Coconut Choc Single Big 50g,I Love Cookies,Cookie Coconut Choc Single Big,2.0,$4.00 per 100G,50g,,Lunch Box,https://shop.coles.com.au/a/national/product/i-love-cokies-single-big-cokie-coconut-choc
2992237P,Arnott's Crackers Crimpy Chicken Shapes 8 Pack 200g,Arnott's,Crackers Crimpy Chicken Shapes 8 Pack,3.0,$1.50 per 100G,200g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-crackers-crimpy-chicken-shapes-8-pack
3906354P,Zak Riverside Drink Bottle 517mL each,Zak,Riverside Drink Bottle 517mL,8.0,$8.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/zak-riverside-drink-bottle
3829720P,I Love Cookies Cookie Choc Chip Single Big 50g,I Love Cookies,Cookie Choc Chip Single Big,2.0,$4.00 per 100G,50g,,Lunch Box,https://shop.coles.com.au/a/national/product/i-love-cokies-single-big-cokie-choc-chip
3911150P,Billie Stainless Steel Bottle Special each,Billie,Stainless Steel Bottle Special,5.0,$5.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/hot-topic-stainless-stel-bottle
2992420P,Sunbites Cheddar & Chive Snack Crackers 120g,Sunbites,Cheddar & Chive Snack Crackers,3.5,$2.92 per 100G,120g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/sunbites-snack-5-pack-crackers-cheddar-chive
3915978P,Smash Bento Bite 6 Compartment Box each,Smash,Bento Bite 6 Compartment Box,20.0,$20.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/smash-bento-bite-6-compartment-box
1349461P,Bills Organic Spelt Bread 620g,Bills Organic,Spelt Bread,7.3,$1.18 per 100G,620g,,Lunch Box,https://shop.coles.com.au/a/national/product/bills-organic-bread-spelt
3237899P,Bills Organic Khorasan Loaf 620g,Bills Organic,Khorasan Loaf,7.3,$1.18 per 100G,620g,,Lunch Box,https://shop.coles.com.au/a/national/product/bills-organic-khorasan-loaf
3839494P,Kurrajong Crackers Poppy Sesame Snack Size 25g,Kurrajong,Crackers Poppy Sesame Snack Size,1.0,$4.00 per 100G,25g,,Lunch Box,https://shop.coles.com.au/a/national/product/kurrajong-snack-size-crackers-poppy-sesame
3905318P,Licenced Back Pack Boys each,Licenced,Back Pack Boys,15.0,$15.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/licenced-back-pack-boys-licenced-back-pack-boy
3988574P,Arnott's Shapes Hunger Buster Cracker Trip Cheese Toast 168g,Arnott's,Shapes Hunger Buster Cracker Trip Cheese Toast,3.0,$1.79 per 100G,168g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/cracker-trip-chese-toast
3273510P,Coles Monterey Jack Cheese Slices 200g,Coles,Monterey Jack Cheese Slices,3.7,$18.50 per 1Kg,200g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/coles-monterey-jack-cheese-slices
3915945P,Smash Leak Proof Snack Box each,Smash,Leak Proof Snack Box,5.0,$5.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/smash-leak-prof-snack-box-3915945p
2270436P,Bill Organic Activated Super Seeds & Grains 620g,Bill Organic,Activated Super Seeds & Grains,7.3,$1.18 per 100G,620g,,Lunch Box,https://shop.coles.com.au/a/national/product/bills-organic-ancient-grains--activated-seeds-bread
6935723P,Bills Organic Bread Sourdough Multi Fruit 660g,Bills Organic,Bread Sourdough Multi Fruit,8.0,$1.21 per 100G,660g,,Lunch Box,https://shop.coles.com.au/a/national/product/bills-organic-stoneground-bread-sourdough-fruit
3915785P,Smash Consumption Bottle 1L each,Smash,Consumption Bottle 1L,12.0,$12.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/smash-consumption-bottle-3915785p
2992248P,Arnott's Shapes Vegemite & Cheese 8 pack 200g,Arnott's,Shapes Vegemite & Cheese 8 pack,3.0,$1.50 per 100G,200g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-shapes-crackers-under-the-sea-8-pack
2992226P,Arnott's Crackers Original Pizza Shapes 8 Pack 200g,Arnott's,Crackers Original Pizza Shapes 8 Pack,3.0,$1.50 per 100G,200g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-crackers-original-pizza-shapes-8-pack
3915901P,Smash Leak Proof Sandwich Box each,Smash,Leak Proof Sandwich Box,6.0,$6.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/smash-leak-prof-sandwich-box-3915901p
3839632P,Byron Bay Single Serve Milk Choc Chunk Cookie 60g,Byron Bay,Single Serve Milk Choc Chunk Cookie,1.5,$2.50 per 100G,60g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/byron-bay-single-serve-cokie-milk-choc-chunk
3905329P,Licenced Back Pack Girls each,Licenced,Back Pack Girls,15.0,$15.00 per 1Ea,each,,Lunch Box,https://shop.coles.com.au/a/national/product/licenced-back-pack-girls-licenced-back-pack-girls
3839461P,Kurrajong Crackers Poppy Sesame Bite Size 25g,Kurrajong,Crackers Poppy Sesame Bite Size,1.0,$4.00 per 100G,25g,,Lunch Box,https://shop.coles.com.au/a/national/product/kurrajong-bite-size-crackers-poppy-sesame
2992215P,Arnott's Crackers Original Bbq Shapes 8 Pack 200g,Arnott's,Crackers Original Bbq Shapes 8 Pack,3.0,$1.50 per 100G,200g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-crackers-original-bbq-shapes-8-pack
3468122P,Arnott's Honey Soy Chicken Cracker Chips 7 pack 126g,Arnott's,Honey Soy Chicken Cracker Chips 7 pack,3.0,$2.38 per 100G,126g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-multipack-8-pack-cracker-chip-honeysoy-chk
7179193P,Byron Bay Single Serve Triple Choc Fudge Cookie 60g,Byron Bay,Single Serve Triple Choc Fudge Cookie,1.5,$2.50 per 100G,60g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/byron-bay-cookie-company-cookie-triple-chocolate-fudge
3935931P,Nutella B Ready Biscuit Single Pack 22g,Nutella,B Ready Biscuit Single Pack,2.0,$9.09 per 100G,22g,,Lunch Box,https://shop.coles.com.au/a/national/product/biscuit-single
2992180P,Arnott's Shapes Multipack Variety 15 Pack 375g,Arnott's,Shapes Multipack Variety 15 Pack,5.0,$1.33 per 100G,375g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-shapes-multipack-variety-15-pack
3992800P,Arnott's Mini Bites Sour Cream Crackers 168g,Arnott's,Mini Bites Sour Cream Crackers,3.0,$1.79 per 100G,168g,Specials,Lunch Box,https://shop.coles.com.au/a/national/product/crackers-sour-cream-onion-3992800p-1
3839450P,Kurrajong Crackers Wholemeal Bite Size 25g,Kurrajong,Crackers Wholemeal Bite Size,1.0,$4.00 per 100G,25g,,Lunch Box,https://shop.coles.com.au/a/national/product/kurrajong-bite-size-crackers-wholemeal
